Winser,老云头
Emrie Carter,艾姆里 卡特
Fire Wielder,消防员
Jamie,吉米
Callum,卡勒姆
Silca Region,西尔卡地区
Designer Suites,设计师套房
Natalie,娜塔莉
Nat,纳特
Marcie,玛西
Dane,戴恩
Robert,罗伯特
Natalie waving,娜塔莉挥手
Apex Hunter,猎杀者
Anderson,安德森
the Bedrock Region,基岩地区
Silca Region's,西尔卡地区
Reynard,雷纳德
The Flame Emperor's,火焰皇帝
Mack,麦克
Lightning Mage,闪电法师
Self-Regeneration,自我恢复
Natalie Sterling,娜塔莉 斯特灵
Limiter,限制器
Greater Form,更大的阵势
Celia,西莉亚
Crimson City,深红城
the Shadow Summon,影子召唤
the Bedrock Region's,基岩地区的
Astral Spears,星光之矛
